"","match_id","inning","batting_team","bowling_team","over","ball","batsman","non_striker","bowler","is_super_over","wide_runs","bye_runs","legbye_runs","noball_runs","penalty_runs","batsman_runs","extra_runs","total_runs","player_dismissed","dismissal_kind","fielder"
"1",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",1,1,"SC Ganguly","BB McCullum","P Kumar",0,0,0,1,0,0,0,1,1,"","",""
"2",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",3,1,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"3",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",3,2,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"4",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",3,3,"SC Ganguly","BB McCullum","P Kumar",0,0,0,1,0,0,0,1,1,"","",""
"5",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",3,6,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"6",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,1,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,4,0,4,"","",""
"7",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,2,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,1,0,1,"","",""
"8",1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,6,"SC Ganguly","BB McCullum","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"9",29,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,1,"SC Ganguly","DJ Hussey","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"10",29,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,2,"SC Ganguly","DJ Hussey","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"11",29,1,"Kolkata Knight Riders","Royal Challengers Bangalore",5,3,"SC Ganguly","DJ Hussey","P Kumar",0,0,0,0,0,0,1,0,1,"","",""
"12",75,1,"Kolkata Knight Riders","Royal Challengers Bangalore",7,4,"SC Ganguly","CH Gayle","P Kumar",0,0,0,0,0,0,1,0,1,"","",""
"13",75,1,"Kolkata Knight Riders","Royal Challengers Bangalore",7,6,"SC Ganguly","CH Gayle","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"14",75,1,"Kolkata Knight Riders","Royal Challengers Bangalore",9,2,"SC Ganguly","CH Gayle","P Kumar",0,0,0,0,0,0,0,0,0,"","",""
"15",75,1,"Kolkata Knight Riders","Royal Challengers Bangalore",9,3,"SC Ganguly","CH Gayle","P Kumar",0,0,0,0,0,0,0,0,0,"SC Ganguly","caught","JH Kallis"
"16",119,2,"Kolkata Knight Riders","Royal Challengers Bangalore",15,3,"SC Ganguly","CA Pujara","P Kumar",0,0,0,0,0,0,1,0,1,"","",""
